UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,MONTH,DISTANCE
04Q,Tradewind Aviation,13535,MVL,12197,HPN,1,395.7461741271158
04Q,Tradewind Aviation,12197,HPN,13535,MVL,1,395.7461741271158
04Q,Tradewind Aviation,10792,BUF,10540,BED,1,610.1171029824131
04Q,Tradewind Aviation,13303,MIA,15167,TEB,1,1769.9548793585968
04Q,Tradewind Aviation,14259,PSM,12197,HPN,1,326.5802200929705
04Q,Tradewind Aviation,10472,B21,10927,CDW,1,572.9986298568515
04Q,Tradewind Aviation,10472,B21,11456,DXR,1,490.3605615497556
04Q,Tradewind Aviation,10927,CDW,10472,B21,1,572.9986298568515
04Q,Tradewind Aviation,11456,DXR,10472,B21,1,490.3605615497556
04Q,Tradewind Aviation,11456,DXR,13535,MVL,1,358.70846040312983
04Q,Tradewind Aviation,10557,BFD,12197,HPN,1,419.1947734094331
04Q,Tradewind Aviation,11615,EWB,15167,TEB,1,275.1520080691129
04Q,Tradewind Aviation,12119,HGR,12197,HPN,1,372.3346336129996
04Q,Tradewind Aviation,13535,MVL,12197,HPN,1,395.7461741271158
04Q,Tradewind Aviation,13984,OWD,15167,TEB,1,282.85485462731737
04Q,Tradewind Aviation,13987,OXC,10577,BGM,1,249.20004115317624
04Q,Tradewind Aviation,13987,OXC,13685,NJ1,1,243.1523505556382
04Q,Tradewind Aviation,13184,MBS,12197,HPN,1,895.3151217477534
04Q,Tradewind Aviation,15382,TVI,15167,TEB,1,1414.554202026988
04Q,Tradewind Aviation,12899,LBF,15041,SUN,1,1148.592160054743
04Q,Tradewind Aviation,11503,EGE,11042,CLE,1,2119.825773349189
04Q,Tradewind Aviation,11259,DAL,15167,TEB,1,2206.0864860844667
04Q,Tradewind Aviation,13125,LWM,14255,PSF,1,180.3561922447978
04Q,Tradewind Aviation,13125,LWM,12397,ITH,1,437.2884757085417
04Q,Tradewind Aviation,14122,PIT,14100,PHL,1,429.6006556559649
04Q,Tradewind Aviation,12264,IAD,12197,HPN,1,397.0353885800173
04Q,Tradewind Aviation,12397,ITH,13125,LWM,1,437.2884757085417
04Q,Tradewind Aviation,11764,FRG,10257,ALB,1,226.94605512225525
04Q,Tradewind Aviation,11764,FRG,10540,BED,1,262.06539215273096
04Q,Tradewind Aviation,10397,ATL,12197,HPN,1,1255.4312558036927
04Q,Tradewind Aviation,10540,BED,10792,BUF,1,610.1171029824131
04Q,Tradewind Aviation,10540,BED,10154,ACK,1,169.3113078094161
04Q,Tradewind Aviation,10540,BED,11764,FRG,1,262.06539215273096
04Q,Tradewind Aviation,10540,BED,15167,TEB,1,292.3348717019576
04Q,Tradewind Aviation,12197,HPN,12153,HLG,1,593.8168773964702
04Q,Tradewind Aviation,12197,HPN,13505,MTN,1,300.5260888782531
04Q,Tradewind Aviation,12197,HPN,14259,PSM,1,326.5802200929705
04Q,Tradewind Aviation,12197,HPN,10154,ACK,1,306.0312326763208
04Q,Tradewind Aviation,12197,HPN,10557,BFD,1,419.1947734094331
04Q,Tradewind Aviation,12197,HPN,12119,HGR,1,372.3346336129996
04Q,Tradewind Aviation,12197,HPN,12899,LBF,1,2251.3976283200686
04Q,Tradewind Aviation,12197,HPN,11259,DAL,1,2241.401138368946
04Q,Tradewind Aviation,12197,HPN,12264,IAD,1,397.0353885800173
04Q,Tradewind Aviation,12197,HPN,10397,ATL,1,1255.4312558036927
04Q,Tradewind Aviation,12197,HPN,10540,BED,1,254.0960024980275
04Q,Tradewind Aviation,12197,HPN,10721,BOS,1,266.5056816385613
04Q,Tradewind Aviation,12197,HPN,14843,SJU,1,2620.936377110964
04Q,Tradewind Aviation,12197,HPN,13541,MVY,1,261.22548965591733
04Q,Tradewind Aviation,10721,BOS,12197,HPN,1,266.5056816385613
04Q,Tradewind Aviation,10721,BOS,15167,TEB,1,304.5982955569982
04Q,Tradewind Aviation,14843,SJU,15027,STX,1,151.10856607195652
04Q,Tradewind Aviation,15167,TEB,13303,MIA,1,1769.9548793585968
04Q,Tradewind Aviation,15167,TEB,13731,NPT,1,244.60546976722551
04Q,Tradewind Aviation,15167,TEB,10154,ACK,1,338.43579635188087
04Q,Tradewind Aviation,15167,TEB,13184,MBS,1,876.9743054440492
04Q,Tradewind Aviation,15167,TEB,15382,TVI,1,1414.554202026988
04Q,Tradewind Aviation,15167,TEB,10540,BED,1,292.3348717019576
04Q,Tradewind Aviation,15167,TEB,10721,BOS,1,304.5982955569982
04Q,Tradewind Aviation,15167,TEB,11790,FTY,1,1212.475869515542
04Q,Tradewind Aviation,15167,TEB,13535,MVL,1,426.3970888078381
04Q,Tradewind Aviation,15167,TEB,10785,BTV,1,409.5131529078826
04Q,Tradewind Aviation,15167,TEB,13296,MHT,1,317.53236323413205
04Q,Tradewind Aviation,11790,FTY,15167,TEB,1,1212.475869515542
04Q,Tradewind Aviation,15041,SUN,11775,FSD,1,1412.220273318835
04Q,Tradewind Aviation,10519,BCT,15096,SYR,1,1896.390777222853
04Q,Tradewind Aviation,15027,STX,15024,STT,1,72.98716843034373
04Q,Tradewind Aviation,10577,BGM,13987,OXC,1,249.20004115317624
04Q,Tradewind Aviation,12153,HLG,12197,HPN,1,593.8168773964702
04Q,Tradewind Aviation,12587,JZI,12197,HPN,1,1211.2708137572258
04Q,Tradewind Aviation,13505,MTN,12197,HPN,1,300.5260888782531
04Q,Tradewind Aviation,13685,NJ1,13987,OXC,1,243.1523505556382
04Q,Tradewind Aviation,10154,ACK,12197,HPN,1,306.0312326763208
04Q,Tradewind Aviation,10154,ACK,15167,TEB,1,338.43579635188087
04Q,Tradewind Aviation,13731,NPT,15167,TEB,1,244.60546976722551
